timestamp,markers,ids,x,y,detect_ms,src
1786883496.471,0,,,,925.0,tcp
1786883497.397,0,,,,922.2,tcp
1786883498.311,0,,,,908.8,tcp
1786883499.259,0,,,,941.2,tcp
1786883500.224,0,,,,957.8,tcp
1786883501.164,0,,,,930.6,tcp
1786883502.094,0,,,,925.1,tcp
1786883503.056,0,,,,952.7,tcp
1786883503.999,0,,,,936.7,tcp
1786883504.936,0,,,,929.5,tcp
1786883505.873,0,,,,931.0,tcp
1786883506.799,0,,,,919.7,tcp
1786883507.717,0,,,,910.8,tcp
1786883508.633,0,,,,910.4,tcp
1786883509.595,0,,,,955.7,tcp
1786883510.525,0,,,,922.4,tcp
1786883511.458,0,,,,923.6,tcp
1786883512.366,0,,,,902.0,tcp
1786883513.299,0,,,,925.4,tcp
1786883514.209,0,,,,904.3,tcp
1786883515.135,0,,,,919.0,tcp
1786883516.038,0,,,,897.1,tcp
1786883516.946,0,,,,901.8,tcp
1786883517.851,0,,,,897.5,tcp
1786883518.743,0,,,,882.7,tcp
1786883519.616,0,,,,869.2,tcp
1786883520.516,0,,,,892.9,tcp
1786883521.406,0,,,,883.3,tcp
1786883522.288,0,,,,876.4,tcp
1786883523.249,0,,,,954.1,tcp
1786883524.193,0,,,,936.2,tcp
1786883525.082,0,,,,883.2,tcp
1786883525.970,0,,,,878.4,tcp
1786883526.851,0,,,,869.1,tcp
1786883527.779,0,,,,921.8,tcp
1786883528.749,0,,,,960.2,tcp
1786883529.688,0,,,,932.1,tcp
1786883530.602,0,,,,907.1,tcp
1786883531.485,0,,,,876.5,tcp
1786883532.364,0,,,,873.3,tcp
1786883533.271,0,,,,901.0,tcp
1786883534.156,0,,,,878.5,tcp
1786883535.046,0,,,,884.6,tcp
1786883535.944,0,,,,891.1,tcp
1786883536.830,0,,,,880.1,tcp
1786883537.714,0,,,,877.7,tcp
1786883538.599,0,,,,875.9,tcp
1786883539.480,0,,,,874.2,tcp
1786883540.368,0,,,,882.0,tcp
1786883541.294,0,,,,917.4,tcp
1786883542.181,0,,,,880.6,tcp
1786883543.056,0,,,,867.8,tcp
1786883543.926,0,,,,864.5,tcp
1786883544.801,0,,,,869.1,tcp
1786883545.683,0,,,,871.4,tcp
1786883546.549,0,,,,860.1,tcp
1786883547.400,0,,,,845.4,tcp
1786883548.265,0,,,,854.0,tcp
1786883549.124,0,,,,853.7,tcp
1786883550.003,0,,,,872.7,tcp
1786883550.957,0,,,,944.7,tcp
1786883551.830,0,,,,866.0,tcp
1786883552.683,0,,,,846.4,tcp
1786883553.545,0,,,,856.6,tcp
1786883554.403,0,,,,852.1,tcp
1786883555.258,0,,,,844.2,tcp
1786883556.159,0,,,,895.7,tcp
1786883557.015,0,,,,848.4,tcp
1786883557.870,0,,,,850.1,tcp
1786883558.747,0,,,,866.1,tcp
1786883559.601,0,,,,847.4,tcp
1786883560.461,0,,,,853.8,tcp
1786883561.336,0,,,,869.6,tcp
1786883562.202,0,,,,857.4,tcp
1786883563.066,0,,,,858.8,tcp
1786883563.928,0,,,,855.6,tcp
1786883564.882,0,,,,946.7,tcp
1786883565.810,0,,,,922.3,tcp
1786883566.685,0,,,,867.6,tcp
1786883567.534,0,,,,843.7,tcp
1786883568.387,0,,,,845.8,tcp
1786883569.357,0,,,,964.2,tcp
1786883570.223,0,,,,854.1,tcp
1786883571.115,0,,,,880.6,tcp
1786883571.967,0,,,,844.9,tcp
1786883572.811,0,,,,838.2,tcp
1786883573.650,0,,,,832.9,tcp
1786883574.508,0,,,,851.7,tcp
1786883575.365,0,,,,851.5,tcp
1786883576.286,0,,,,914.9,tcp
1786883577.154,0,,,,861.4,tcp
1786883578.015,0,,,,856.0,tcp
1786883578.881,0,,,,859.2,tcp
1786883579.747,0,,,,859.5,tcp
1786883580.608,0,,,,855.6,tcp
1786883581.482,0,,,,867.4,tcp
1786883582.343,0,,,,855.1,tcp
1786883583.237,0,,,,888.6,tcp
1786883584.201,0,,,,954.5,tcp
1786883585.057,0,,,,849.8,tcp
1786883585.929,0,,,,856.7,tcp
1786883586.814,0,,,,875.4,tcp
1786883587.699,0,,,,878.5,tcp
1786883588.603,0,,,,898.1,tcp
1786883589.559,0,,,,949.4,tcp
1786883590.431,0,,,,864.6,tcp
1786883591.338,0,,,,896.7,tcp
1786883592.193,0,,,,848.3,tcp
1786883593.051,0,,,,852.3,tcp
1786883593.912,0,,,,853.5,tcp
1786883594.812,0,,,,894.8,tcp
1786883595.672,0,,,,853.6,tcp
1786883596.549,0,,,,870.9,tcp
1786883597.413,0,,,,853.6,tcp
1786883598.283,0,,,,860.9,tcp
1786883599.142,0,,,,849.8,tcp
1786883600.019,0,,,,870.4,tcp
1786883600.889,0,,,,864.3,tcp
1786883601.763,0,,,,866.9,tcp
1786883602.612,0,,,,843.2,tcp
1786883603.462,0,,,,843.6,tcp
1786883604.315,0,,,,845.9,tcp
1786883605.190,0,,,,870.6,tcp
1786883606.048,0,,,,850.9,tcp
1786883606.931,0,,,,872.7,tcp
1786883607.807,0,,,,870.2,tcp
1786883608.684,0,,,,871.0,tcp
1786883609.608,0,,,,912.6,tcp
1786883610.594,0,,,,980.6,tcp
1786883611.585,0,,,,982.7,tcp
1786883612.537,0,,,,940.4,tcp
1786883613.401,0,,,,857.2,tcp
1786883614.268,0,,,,861.4,tcp
1786883615.174,0,,,,899.5,tcp
1786883616.051,0,,,,869.6,tcp
1786883616.984,0,,,,922.1,tcp
1786883617.864,0,,,,868.1,tcp
1786883618.755,0,,,,885.5,tcp
1786883619.644,0,,,,879.4,tcp
1786883620.546,0,,,,894.6,tcp
1786883621.442,0,,,,889.1,tcp
1786883622.347,0,,,,897.9,tcp
1786883623.223,0,,,,869.9,tcp
1786883624.100,0,,,,871.2,tcp
1786883625.003,0,,,,896.0,tcp
1786883625.890,0,,,,881.6,tcp
1786883626.769,0,,,,872.3,tcp
1786883627.673,0,,,,898.7,tcp
1786883628.565,0,,,,884.6,tcp
1786883629.468,0,,,,897.1,tcp
1786883630.354,0,,,,881.1,tcp
1786883631.261,0,,,,900.4,tcp
1786883632.165,0,,,,898.7,tcp
1786883633.056,0,,,,885.7,tcp
1786883633.974,0,,,,912.3,tcp
1786883634.881,0,,,,901.4,tcp
1786883635.790,0,,,,902.8,tcp
1786883636.697,0,,,,902.1,tcp
1786883637.628,0,,,,924.3,tcp
1786883638.540,0,,,,906.0,tcp
1786883639.465,0,,,,917.0,tcp
1786883640.396,0,,,,924.5,tcp
1786883641.313,0,,,,910.2,tcp
1786883642.236,0,,,,915.9,tcp
1786883643.149,0,,,,906.4,tcp
1786883644.064,0,,,,908.7,tcp
1786883645.007,0,,,,937.0,tcp
1786883645.929,0,,,,916.0,tcp
1786883646.833,0,,,,897.0,tcp
1786883647.771,0,,,,931.8,tcp
1786883648.687,0,,,,907.4,tcp
1786883649.641,0,,,,947.0,tcp
1786883650.668,0,,,,1020.1,tcp
1786883651.644,0,,,,969.3,tcp
1786883652.565,0,,,,914.9,tcp
1786883653.461,0,,,,890.4,tcp
1786883654.359,0,,,,891.0,tcp
1786883655.254,0,,,,887.9,tcp
1786883656.170,0,,,,909.6,tcp
1786883657.064,0,,,,888.0,tcp
1786883657.979,0,,,,909.0,tcp
1786883658.911,0,,,,925.3,tcp
1786883659.850,0,,,,933.2,tcp
1786883660.774,0,,,,917.3,tcp
1786883661.698,0,,,,918.0,tcp
1786883662.620,0,,,,916.4,tcp
1786883663.538,0,,,,912.4,tcp
1786883664.464,0,,,,919.1,tcp
1786883665.398,0,,,,927.4,tcp
1786883666.338,0,,,,933.6,tcp
1786883667.280,0,,,,936.0,tcp
1786883668.246,0,,,,961.0,tcp
1786883669.214,0,,,,961.2,tcp
1786883670.210,0,,,,988.5,tcp
1786883671.201,0,,,,984.7,tcp
1786883672.162,0,,,,954.1,tcp
1786883673.117,0,,,,947.8,tcp
1786883674.058,0,,,,933.1,tcp
1786883675.022,0,,,,958.3,tcp
1786883676.016,0,,,,987.7,tcp
1786883677.006,0,,,,982.8,tcp
1786883677.985,0,,,,973.0,tcp
1786883678.938,0,,,,945.5,tcp
1786883679.870,0,,,,926.9,tcp
1786883680.810,0,,,,932.9,tcp
1786883681.800,0,,,,983.8,tcp
1786883682.760,0,,,,953.7,tcp
1786883683.746,0,,,,980.2,tcp
1786883684.735,0,,,,981.2,tcp
1786883685.697,0,,,,956.0,tcp
1786883686.674,0,,,,970.2,tcp
1786883687.643,0,,,,963.5,tcp
1786883688.628,0,,,,977.0,tcp
1786883689.622,0,,,,988.5,tcp
1786883690.622,0,,,,993.8,tcp
1786883691.734,0,,,,1105.2,tcp
1786883692.744,0,,,,1003.1,tcp
1786883693.754,0,,,,1004.5,tcp
1786883694.830,0,,,,1068.1,tcp
1786883695.846,0,,,,1009.1,tcp
1786883696.909,0,,,,1055.9,tcp
1786883698.122,0,,,,1201.9,tcp
1786883699.166,0,,,,1035.1,tcp
1786883700.184,0,,,,1006.4,tcp
1786883701.222,0,,,,1027.7,tcp
1786883702.305,0,,,,1077.1,tcp
1786883703.374,0,,,,1062.3,tcp
1786883704.400,0,,,,1017.5,tcp
1786883705.481,0,,,,1074.6,tcp
1786883706.732,0,,,,1244.0,tcp
1786883708.016,0,,,,1272.8,tcp
1786883709.263,0,,,,1237.9,tcp
1786883710.481,0,,,,1210.1,tcp
1786883711.603,0,,,,1113.2,tcp
1786883712.645,0,,,,1032.3,tcp
1786883713.681,0,,,,1028.6,tcp
1786883714.737,0,,,,1048.2,tcp
1786883715.810,0,,,,1063.1,tcp
1786883716.971,0,,,,1153.7,tcp
1786883718.069,0,,,,1087.9,tcp
1786883719.308,0,,,,1231.6,tcp
1786883720.500,0,,,,1182.5,tcp
1786883721.557,0,,,,1048.8,tcp
1786883722.660,0,,,,1095.9,tcp
1786883723.750,0,,,,1082.9,tcp
1786883724.844,0,,,,1086.5,tcp
1786883726.064,0,,,,1213.6,tcp
1786883727.310,0,,,,1227.7,tcp
1786883728.537,0,,,,1215.8,tcp
1786883729.784,0,,,,1235.0,tcp
1786883731.368,0,,,,1574.6,tcp
1786883732.671,0,,,,1287.5,tcp
1786883733.893,0,,,,1212.2,tcp
1786883735.116,0,,,,1210.3,tcp
1786883736.243,0,,,,1119.0,tcp
1786883737.277,0,,,,1027.1,tcp
1786883738.325,0,,,,1040.8,tcp
1786883739.475,0,,,,1138.9,tcp
1786883740.574,0,,,,1094.1,tcp
1786883741.765,0,,,,1183.1,tcp
1786883742.981,0,,,,1208.6,tcp
1786883744.121,0,,,,1132.9,tcp
1786883745.303,0,,,,1173.6,tcp
1786883746.483,0,,,,1173.3,tcp
1786883747.682,0,,,,1191.1,tcp
1786883748.848,0,,,,1156.9,tcp
1786883750.071,0,,,,1214.1,tcp
1786883751.295,0,,,,1215.7,tcp
1786883752.516,0,,,,1211.7,tcp
1786883753.766,0,,,,1241.9,tcp
1786883755.596,0,,,,1822.5,tcp
1786883757.117,0,,,,1504.4,tcp
1786883758.389,0,,,,1259.2,tcp
1786883759.622,0,,,,1223.3,tcp
1786883760.853,0,,,,1220.1,tcp
1786883762.079,0,,,,1216.0,tcp
1786883763.362,0,,,,1269.5,tcp
1786883764.605,0,,,,1231.8,tcp
1786883765.842,0,,,,1225.3,tcp
1786883767.083,0,,,,1229.0,tcp
1786883768.341,0,,,,1247.6,tcp
1786883769.630,0,,,,1277.2,tcp
1786883771.095,0,,,,1453.3,tcp
1786883772.714,0,,,,1602.5,tcp
1786883774.110,0,,,,1380.6,tcp
1786883775.402,0,,,,1274.2,tcp
1786883776.840,0,,,,1420.3,tcp
1786883778.137,0,,,,1284.3,tcp
1786883779.413,0,,,,1266.5,tcp
1786883780.731,0,,,,1306.5,tcp
1786883782.038,0,,,,1292.4,tcp
1786883783.342,0,,,,1294.4,tcp
1786883784.694,0,,,,1339.5,tcp
1786883785.998,0,,,,1283.4,tcp
1786883787.283,0,,,,1275.5,tcp
1786883788.579,0,,,,1287.0,tcp
1786883789.895,0,,,,1297.6,tcp
1786883791.200,0,,,,1292.4,tcp
1786883792.591,0,,,,1379.4,tcp
1786883793.935,0,,,,1331.3,tcp
1786883795.233,0,,,,1289.0,tcp
1786883796.649,0,,,,1406.9,tcp
1786883797.953,0,,,,1286.0,tcp
1786883799.284,0,,,,1301.9,tcp
1786883800.595,0,,,,1299.5,tcp
1786883801.958,0,,,,1349.9,tcp
